	allentownpa	anstedwv	syracuseny	stalbanscityvt	athensga	daytonoh	tampafl	camdennj	summersvillewv	leominsterma	lawrenceburgky	newyorkcityny	virginiabeachva	keenenh	fortlauderdalefl	detroitmi	rutlandvt	milfordde	sumtersc	toledooh	fredericksburgva	charlottenc	stamfordct	danburyct	brunswickme	southbendin	ashevillenc	jacksonvillefl	atlanticcitynj	greensboronc	watervilleme	rochesternh	westerlyri	cincinnatioh	columbiasc	lagrangeky	providenceri	lexingtonky	scrantonpa	owossomi	savannahga	rochesterny	fredericksonwa	woonsocketri	wilmingtonnc	trentonnj	northkingstownri	wilmingtonde	statecollegepa	baltimoremd	raleighnc	atlantaga	clevelandoh	cynthianaky	durhamnc	spartanburgsc	indianapolisin	oceancitymd	williamsburgva	augustame	charlestonwv	fortwaynein	grandrapidsmi	newarkde	lewistonme	pepperellma	louisvilleky	concordnh	frankfordde	buffalony	hagerstownmd	annapoliswa	evansvillein	frankfortky	washingtondcwa	miamifl	hartfordct	middletownde	newhavenct	columbusga	nashuanh	columbusoh	elizabethnj	newportri	fitchburgma	orlandofl	amherstma	augustaga	towsonmd	portsmouthnh	portlandme	hamptonva	viennawv	myrtlebeachsc	montpeliervt	doverde	waterburyct	pittsburghpa	burlingtonvt	cadillacmi	greenvillesc	newarknj	martinsburgswv	philadelphiapa	akronoh	keywestfl	newbrunswicknj	chicopeema	rockvillemd	annarbormi	traversecitymi	westspringfieldma	troyny	barrevt	manchesternh	silverspringmd	cooperstownny	clemsonsc	lafayettein	alexandriava	bridgeportct	winooskivt	eriepa	richmondva	bluefieldwv	warwickri	bangorme	bloomingtonin	maconga	
frankfordde	179.05	438.19	369.59	530.55	658.09	582.11	954.68	131.28	439.19	413.14	677.14	216.64	146.43	433.08	1085.15	633.87	444.77	31.27	495.31	579.38	174.97	472.17	256.16	282.08	552.79	720.99	552.12	758.23	90.59	381.5	601.24	496.27	356.72	615.25	531.14	690.81	396.43	645.34	240.45	700.96	626.02	455.66	2896.72	410.53	382.69	159.99	384.3	99.66	262.19	119.85	330.22	709.22	480.99	647.21	330.18	540.8	685.83	20.09	184.14	582.37	471.16	668.76	764.77	97.75	557.92	428.15	717.3	479.34	0.0	490.32	181.75	2917.5	838.73	667.63	119.15	1110.06	332.78	74.64	297.05	817.11	447.72	511.31	203.59	395.13	417.13	899.82	380.86	601.97	131.77	477.58	528.19	154.51	433.43	484.41	529.03	50.92	308.31	354.74	503.09	823.8	568.64	208.42	201.44	130.89	457.93	1261.85	187.9	360.1	130.95	632.15	871.76	357.81	361.77	527.06	466.93	122.03	377.93	599.32	746.4	128.3	277.39	506.12	477.35	230.53	463.88	390.09	655.87	735.6	722.09	
buffalony	331.27	429.83	151.95	400.34	845.59	399.49	1238.17	378.44	407.49	441.29	542.7	372.83	581.03	381.94	1368.65	255.77	358.7	459.16	768.38	306.29	425.12	659.59	387.54	373.92	578.55	448.7	689.01	1041.72	436.06	638.77	628.59	522.19	454.84	436.48	750.52	512.06	449.19	518.87	256.7	300.93	909.57	76.52	2624.59	436.72	736.56	387.22	472.19	391.65	201.69	369.11	650.96	896.86	193.82	491.61	630.8	726.15	503.64	510.07	525.96	610.84	429.02	396.43	385.71	370.02	585.55	456.3	535.64	431.87	490.32	0.0	313.64	2645.38	654.18	515.39	378.91	1393.55	397.51	418.13	435.32	1000.87	473.13	330.16	372.3	482.32	445.28	1183.31	387.81	822.6	360.53	503.31	553.67	550.94	353.08	822.67	425.26	442.03	391.89	218.87	373.62	414.56	754.24	362.94	326.31	374.43	216.08	1545.35	374.19	374.2	362.4	298.28	462.52	371.84	292.84	423.29	488.9	373.74	238.95	785.92	510.5	386.91	403.07	376.65	96.95	481.97	501.49	460.72	682.55	553.34	979.89	
hagerstownmd	154.96	283.17	324.34	541.3	591.31	403.66	966.08	176.69	260.82	446.72	498.7	242.49	272.61	466.66	1096.55	455.42	455.53	157.88	506.71	400.93	116.96	406.85	289.39	308.71	586.38	542.54	453.27	769.63	227.35	321.24	634.82	529.85	389.95	436.81	498.18	512.37	429.66	466.9	193.1	522.51	636.85	340.21	2712.81	443.77	428.01	199.43	417.53	146.6	104.8	75.27	341.62	642.44	302.55	468.76	321.89	472.67	507.38	208.77	216.96	615.96	292.8	490.32	586.33	134.49	591.5	461.73	538.85	512.92	181.75	313.64	0.0	2732.81	660.28	489.19	68.4	1121.45	363.75	157.87	330.28	750.33	481.3	332.87	234.56	428.36	450.71	911.21	414.44	568.31	78.83	511.16	561.78	242.59	255.07	495.81	522.09	155.39	334.94	176.29	513.84	645.36	500.52	232.38	22.88	177.83	279.49	1273.25	220.06	393.68	52.53	453.7	693.32	391.39	372.52	520.12	500.51	64.72	332.68	531.19	567.96	84.43	310.62	516.87	298.91	172.52	319.17	423.32	689.45	557.15	688.43	
annapoliswa	2838.28	2642.3	2785.72	3006.56	2734.75	2401.91	3131.41	2865.47	2682.48	3075.06	2451.57	2897.65	3008.36	3017.56	3315.29	2389.24	2992.47	2893.64	2917.67	2352.18	2852.71	2837.03	2929.37	2937.15	3214.72	2197.15	2722.44	3021.17	2923.1	2838.64	3263.16	3158.19	3029.93	2398.99	2869.47	2417.89	3069.64	2476.14	2811.1	2360.62	2924.38	2710.29	41.98	3066.9	3041.5	2880.64	3057.51	2859.76	2675.12	2803.88	2912.81	2676.64	2453.01	2462.71	2889.9	2779.22	2286.96	2937.6	2952.72	3244.3	2596.03	2270.59	2284.08	2842.74	3219.85	3090.08	2401.64	3068.18	2917.5	2645.38	2732.81	0.0	2287.86	2452.88	2804.16	3338.14	2993.31	2893.63	2970.26	2780.66	3109.65	2460.01	2891.16	3068.34	3079.05	3114.29	3021.58	2822.13	2807.25	3139.5	3190.12	2978.35	2572.32	3017.64	3059.03	2891.15	2963.38	2569.17	3007.39	2378.63	2774.5	2881.8	2745.48	2866.93	2474.54	3495.7	2893.05	3007.98	2781.57	2347.79	2323.06	3005.61	2929.29	3057.06	3128.85	2792.91	2872.72	2786.94	2227.37	2820.19	2950.6	3010.42	2554.84	2910.83	2701.69	3063.3	3317.79	2335.85	2759.67	
evansvillein	772.93	415.08	794.52	1042.91	457.05	271.25	852.21	797.81	455.26	1083.86	171.83	856.83	786.16	1026.36	1036.09	454.31	1001.27	814.84	646.02	393.72	676.64	557.82	925.58	933.36	1223.52	314.94	443.24	741.96	855.44	613.21	1271.96	1166.99	1026.14	218.01	591.99	143.57	1065.85	196.4	800.72	457.64	646.68	719.09	2267.08	1085.05	762.7	812.99	1053.72	801.64	650.8	731.35	687.38	398.93	466.93	211.51	664.46	501.99	168.95	865.08	730.51	1253.1	368.81	292.48	428.22	789.39	1228.65	1098.88	119.37	1076.98	838.73	654.18	660.28	2287.86	0.0	173.13	725.55	1058.94	989.51	803.24	966.47	502.95	1118.45	324.9	851.32	1064.55	1087.85	835.09	1030.38	544.43	734.72	1148.3	1198.92	756.15	410.73	739.86	1067.83	812.39	959.59	510.02	1016.19	522.77	496.62	849.14	672.95	793.8	449.55	1216.5	837.74	1016.78	709.04	433.74	570.24	1014.41	938.09	1065.86	1137.65	720.38	881.52	509.38	230.33	705.13	946.81	1019.22	566.22	681.17	474.47	1059.51	1326.59	120.16	481.97	
frankfortky	640.57	243.98	655.73	904.13	428.99	132.11	862.16	662.53	284.16	945.07	13.47	727.52	618.58	888.46	1046.05	340.96	862.49	643.74	512.62	280.22	509.07	425.2	773.8	791.55	1084.73	308.61	310.62	741.58	713.19	441.41	1133.17	1028.71	874.36	79.26	458.59	41.28	914.07	25.19	658.91	397.0	611.27	580.3	2432.09	928.17	644.27	675.97	901.93	630.54	532.46	560.26	515.58	407.05	327.63	39.65	492.66	368.59	166.18	693.98	562.93	1114.31	197.71	256.99	420.15	618.29	1089.86	960.09	54.68	938.39	667.63	515.39	489.19	2452.88	173.13	0.0	554.45	1068.9	847.71	632.15	814.69	511.07	979.65	185.84	718.96	912.76	949.06	845.04	891.59	482.98	563.62	1009.83	1060.13	588.57	248.58	606.46	929.04	641.29	817.78	368.22	877.4	514.69	363.22	716.79	501.86	661.61	311.19	1226.46	704.47	877.99	537.94	328.19	562.17	875.62	799.3	927.07	995.43	549.29	742.73	389.81	228.99	537.55	795.03	880.43	424.42	513.6	303.37	907.72	1187.8	156.63	490.09	
washingtondcwa	187.17	312.33	370.93	538.67	587.06	468.93	902.23	140.03	313.17	421.26	563.97	224.76	208.76	441.2	1032.7	520.69	452.89	95.29	442.87	466.2	53.11	400.03	264.91	290.84	560.92	607.81	471.62	705.78	190.69	309.37	609.36	504.39	365.48	502.07	478.69	577.64	405.18	532.16	239.69	587.78	574.34	388.65	2783.37	419.29	364.17	168.75	393.05	107.78	211.96	40.18	277.77	638.19	367.82	534.03	258.05	468.67	572.65	145.51	153.11	590.5	338.45	555.58	651.6	95.67	566.04	436.27	604.12	487.46	119.15	378.91	68.4	2804.16	725.55	554.45	0.0	1057.61	341.54	95.27	305.8	746.08	455.84	398.14	212.35	403.88	425.25	847.37	388.98	550.29	54.61	485.7	536.32	178.75	320.09	431.96	537.15	92.8	317.07	241.56	511.21	710.62	496.51	217.17	77.67	139.01	344.75	1209.4	196.65	368.22	17.36	518.97	758.59	365.93	369.89	535.18	475.05	6.15	379.27	527.18	633.22	8.28	286.14	514.24	364.17	108.67	338.03	398.84	663.99	622.42	670.41	
miamifl	1246.45	969.84	1425.2	1592.44	679.06	1175.72	280.11	1198.66	986.19	1482.83	1056.28	1287.49	982.78	1496.24	28.9	1386.12	1506.67	1155.58	631.86	1323.83	1008.8	735.07	1323.54	1349.46	1622.34	1337.74	793.95	351.38	1249.31	799.97	1672.37	1565.97	1424.1	1122.87	642.45	1105.67	1463.81	1044.18	1292.79	1442.16	491.01	1444.68	3317.36	1477.91	788.62	1227.37	1451.68	1166.66	1269.94	1102.98	806.32	662.63	1247.64	1071.08	830.73	728.78	1195.31	1104.4	991.25	1652.06	997.5	1300.6	1453.12	1154.42	1629.33	1500.95	1082.04	1547.88	1110.06	1393.55	1121.45	3338.14	1058.94	1068.9	1057.61	0.0	1400.16	1155.76	1364.43	607.82	1516.92	1158.24	1270.97	1462.5	1488.59	234.83	1450.23	607.46	1117.15	1547.1	1597.46	975.73	1084.09	709.37	1590.92	1153.13	1375.69	1181.31	1564.98	1547.66	739.11	1275.8	1119.77	1197.73	1212.19	165.79	1255.28	1430.03	1070.41	1373.35	1595.14	1427.53	1430.91	1588.95	1532.69	1072.14	1433.57	766.57	1258.13	1052.93	1344.77	1568.01	1302.07	951.2	903.85	1457.47	1726.33	1177.02	586.28	
hartfordct	213.41	642.83	253.84	260.29	932.89	731.53	1244.79	212.42	620.8	84.9	857.67	116.55	478.82	103.29	1375.26	649.25	157.28	302.12	785.42	661.43	395.66	742.59	76.91	58.15	224.55	803.04	812.24	1048.33	242.56	651.92	272.99	168.03	58.57	768.5	821.25	844.06	86.47	825.87	191.81	694.41	917.6	334.55	2973.31	82.44	706.72	182.66	76.21	241.31	338.44	303.01	620.32	981.74	563.04	823.87	600.6	811.22	835.25	354.13	495.67	254.13	652.52	747.32	779.19	246.85	229.68	99.91	868.36	151.1	332.78	397.51	363.75	2993.31	989.51	847.71	341.54	1400.16	0.0	260.77	38.8	1088.58	119.48	661.64	132.8	86.9	88.89	1189.92	51.07	891.84	302.71	149.33	199.95	521.3	609.31	774.52	199.24	284.25	30.73	471.11	235.26	808.03	839.06	126.98	382.71	209.88	539.39	1551.96	151.39	30.3	343.38	714.2	856.0	28.02	116.03	197.27	138.69	337.48	182.58	869.74	858.51	349.0	54.75	235.86	485.09	451.23	678.85	82.24	327.62	885.03	1012.73	
middletownde	106.87	414.3	297.4	458.36	684.55	546.62	1000.38	59.27	415.31	340.95	641.66	144.45	222.42	360.89	1130.86	598.38	372.59	43.48	541.02	543.89	151.26	498.19	184.15	210.07	480.61	685.5	578.14	803.93	109.92	407.52	529.05	424.08	284.71	579.77	576.85	655.33	324.42	609.86	168.26	665.47	671.84	383.47	2872.84	338.53	462.32	87.98	312.29	27.48	191.36	85.77	375.92	735.68	445.51	611.72	356.2	566.82	650.34	94.39	251.27	510.19	447.28	633.28	729.29	17.67	485.74	355.97	681.81	407.16	74.64	418.13	157.87	2893.63	803.24	632.15	95.27	1155.76	260.77	0.0	225.04	843.57	375.54	475.83	131.58	323.12	344.94	945.52	308.67	647.78	80.88	405.39	456.01	230.5	409.55	530.12	456.84	26.36	236.31	319.25	430.9	788.32	594.66	136.41	177.57	58.71	422.45	1307.56	115.89	287.91	107.06	596.66	836.28	285.62	289.58	454.87	394.74	98.14	305.74	625.34	710.92	104.59	205.38	433.93	400.66	206.82	440.0	318.08	583.68	700.11	767.91	
newhavenct	179.94	609.36	291.65	298.09	897.15	708.49	1209.05	176.69	587.33	121.16	824.2	81.59	443.08	141.1	1339.52	692.87	195.09	266.39	749.69	638.38	359.93	706.85	41.95	35.13	260.81	779.99	778.77	1012.6	206.83	616.19	309.25	204.29	64.12	745.46	785.52	821.02	103.05	792.4	168.8	759.96	881.87	372.36	2950.26	117.55	670.99	146.93	91.46	205.57	315.4	267.28	584.59	946.0	540.0	800.82	564.87	775.49	812.21	318.4	459.93	290.39	619.05	724.27	823.78	211.12	265.94	136.17	845.31	187.36	297.05	435.32	330.28	2970.26	966.47	814.69	305.8	1364.43	38.8	225.04	0.0	1052.85	155.74	638.6	97.06	102.15	125.15	1154.19	88.87	856.11	266.98	185.59	236.21	485.57	575.84	738.78	237.05	248.52	22.93	448.07	273.07	882.8	803.33	91.24	349.24	174.15	516.35	1516.22	115.65	68.11	307.64	691.15	930.77	65.83	153.84	235.07	174.95	301.74	220.39	834.0	835.46	313.26	20.11	273.67	472.73	415.49	645.38	95.99	363.88	861.98	976.99	
columbusga	901.61	581.81	1070.98	1287.95	179.95	617.95	401.08	887.08	598.16	1168.72	498.4	972.22	689.06	1188.65	584.97	826.45	1202.18	843.59	370.54	765.86	695.93	352.71	1011.96	1037.88	1308.37	780.17	305.82	290.84	937.73	439.49	1356.81	1251.85	1113.44	564.71	316.17	547.7	1152.36	486.41	939.74	882.49	249.94	1065.79	2760.66	1166.87	520.89	915.79	1140.78	855.24	865.26	791.8	513.18	107.19	813.63	516.44	490.27	283.74	638.19	811.59	664.77	1337.95	609.55	742.8	893.45	843.13	1313.5	1183.73	525.26	1234.92	817.11	1000.87	750.33	2780.66	502.95	511.07	746.08	607.82	1088.58	843.57	1052.85	0.0	1203.3	671.6	959.39	1151.47	1172.71	383.96	1136.43	247.36	802.88	1233.15	1283.77	684.16	690.27	464.03	1284.61	841.1	1064.11	792.43	1260.49	988.0	253.28	964.21	730.41	886.47	796.25	765.38	943.69	1115.67	757.69	813.68	1035.47	1113.38	1119.17	1282.63	1222.5	760.31	1079.32	232.21	701.34	741.51	1033.19	1263.52	910.34	638.29	515.95	1145.31	1411.44	619.31	102.03	
nashuanh	331.69	760.79	329.46	207.78	1044.28	863.48	1361.54	327.37	738.45	43.35	974.42	233.31	595.57	48.64	1492.01	724.86	137.34	416.56	900.43	771.43	512.42	859.34	194.08	176.89	136.35	912.97	928.99	1165.09	356.88	768.67	184.79	60.59	127.45	900.45	935.72	976.01	85.1	942.62	315.04	770.02	1031.57	410.17	3088.86	71.35	823.47	297.16	107.83	356.7	461.38	422.56	737.08	1095.41	657.79	955.81	717.35	924.83	967.91	467.47	612.42	165.93	770.42	860.7	854.81	362.46	141.48	12.13	1000.3	34.48	447.72	473.13	481.3	3109.65	1118.45	979.65	455.84	1516.92	119.48	375.54	155.74	1203.3	0.0	793.59	247.71	111.96	24.53	1306.68	93.67	1007.51	417.67	61.62	111.75	638.06	732.69	887.96	146.73	399.44	149.7	594.55	182.75	883.65	952.92	242.72	500.5	325.01	658.16	1668.71	267.44	107.81	457.43	767.37	931.61	109.93	191.65	144.76	19.81	451.8	258.2	984.6	974.77	465.75	171.83	183.35	561.22	567.98	796.8	96.64	239.42	1017.61	1127.64	
columbusoh	447.98	208.16	470.5	718.9	589.52	71.17	1022.72	472.86	244.45	759.85	207.54	535.69	582.41	702.4	1133.34	202.81	677.26	487.43	534.45	141.49	418.41	424.84	597.71	605.49	899.5	255.79	395.39	806.41	530.49	405.25	947.94	842.65	698.27	106.64	516.59	182.2	737.98	189.37	472.85	258.86	675.63	395.07	2439.23	757.18	608.1	488.03	725.85	461.45	325.85	403.94	479.42	567.58	141.56	162.0	456.5	492.22	175.32	537.66	526.77	929.08	161.9	155.03	322.67	461.98	904.63	774.86	206.49	752.33	511.31	330.16	332.87	2460.01	324.9	185.84	398.14	1158.24	661.64	475.83	638.6	671.6	793.59	0.0	526.37	736.68	763.83	948.0	706.36	588.67	407.31	823.77	874.9	552.4	112.6	588.74	743.82	484.97	631.72	185.07	692.17	381.7	456.04	524.19	345.54	468.85	125.13	1310.04	512.79	692.76	381.62	190.05	429.66	690.39	614.08	741.84	809.36	392.97	557.51	482.63	236.13	413.07	618.94	695.2	238.36	477.43	267.55	731.64	1002.57	225.03	650.62	
elizabethnj	84.22	513.64	246.05	331.77	803.7	597.16	1115.6	83.23	491.61	213.13	728.48	14.95	349.62	233.07	1246.07	613.77	246.0	172.93	656.23	559.28	266.47	613.4	56.18	82.1	352.78	700.89	683.3	919.14	113.37	522.73	401.22	296.26	157.85	630.3	692.06	705.87	196.77	696.67	120.13	680.86	788.41	332.12	2871.16	211.28	577.53	52.12	185.19	112.12	236.3	173.82	491.13	852.55	460.9	698.54	471.41	682.03	700.88	224.94	366.48	382.36	523.33	645.17	744.68	117.66	357.91	228.14	730.16	279.33	203.59	372.3	234.56	2891.16	851.32	718.96	212.35	1270.97	132.8	131.58	97.06	959.39	247.71	526.37	0.0	195.88	217.12	1060.73	180.84	762.65	173.52	277.56	328.18	392.11	480.11	645.33	329.02	155.06	108.33	362.45	304.31	803.7	709.87	6.18	253.52	80.69	437.25	1422.77	22.2	160.08	214.19	612.05	851.67	157.8	162.99	327.04	266.91	208.29	202.45	740.55	756.36	219.81	77.4	307.34	430.97	322.04	549.91	189.72	455.85	750.65	883.54	
newportri	278.02	709.08	338.64	311.26	992.45	806.57	1307.13	275.55	686.74	94.96	922.28	179.67	541.16	138.67	1437.6	734.05	210.29	364.46	847.76	736.46	458.01	804.93	141.06	141.93	201.91	878.07	876.85	1110.68	305.05	714.26	250.35	145.38	40.53	843.53	883.59	919.1	33.53	890.47	283.67	779.21	979.74	419.35	3048.34	48.2	769.06	245.33	10.79	303.65	413.47	365.36	682.67	1043.59	638.07	898.9	662.94	873.56	910.29	416.48	558.01	231.49	718.72	822.35	864.0	309.2	207.04	110.47	943.39	137.96	395.13	482.32	428.36	3068.34	1064.55	912.76	403.88	1462.5	86.9	323.12	102.15	1151.47	111.96	736.68	195.88	0.0	98.95	1252.26	121.28	955.69	365.05	126.69	177.31	583.65	680.99	836.86	250.21	346.6	114.74	546.14	286.23	892.84	901.41	190.9	448.8	272.23	614.42	1614.3	215.61	117.0	405.72	789.23	940.8	119.12	200.84	248.24	123.08	399.82	267.39	932.08	933.54	411.34	118.95	286.83	569.9	513.57	745.09	26.63	304.98	960.06	1075.81	
fitchburgma	301.1	730.19	299.63	213.2	1013.69	833.17	1332.27	296.78	707.85	5.23	944.78	202.81	565.48	37.86	1463.68	695.59	109.35	385.97	869.83	739.97	478.95	825.47	163.49	146.29	152.8	882.38	899.17	1136.76	326.29	736.14	202.84	96.44	97.17	870.15	905.13	945.74	65.82	913.81	284.45	740.75	1000.97	379.82	3058.27	53.35	790.38	266.56	88.82	326.11	430.79	391.97	704.79	1064.82	627.5	925.29	684.63	894.24	937.32	436.88	579.78	182.52	739.83	830.1	825.54	331.86	159.8	15.38	969.32	56.49	417.13	445.28	450.71	3079.05	1087.85	949.06	425.25	1488.59	88.89	344.94	125.15	1172.71	24.53	763.83	217.12	98.95	0.0	1277.4	49.09	976.92	387.08	77.56	127.92	604.77	702.1	857.37	152.15	368.85	119.11	563.95	188.17	854.38	922.33	212.13	469.91	294.42	649.76	1639.44	236.85	77.65	426.84	738.1	902.34	79.75	161.4	150.18	41.3	421.21	227.96	954.01	944.18	432.76	141.24	188.77	530.63	535.8	766.2	77.35	256.8	987.02	1097.04	
orlandofl	1036.21	759.6	1214.02	1386.01	455.21	951.87	84.18	988.42	775.95	1272.59	832.42	1077.25	771.59	1286.0	211.99	1159.94	1300.24	945.34	421.62	1099.98	798.56	524.83	1113.3	1139.22	1412.1	1113.88	583.71	141.14	1039.07	589.73	1462.13	1355.73	1213.86	899.02	432.21	881.81	1253.57	820.32	1082.55	1215.98	280.77	1234.44	3093.5	1267.67	578.38	1017.13	1241.44	956.42	1059.7	892.74	596.08	438.78	1037.4	847.22	620.49	518.54	971.46	894.16	781.01	1441.82	787.26	1076.75	1226.94	944.18	1419.09	1290.71	858.19	1337.64	899.82	1183.31	911.21	3114.29	835.09	845.04	847.37	234.83	1189.92	945.52	1154.19	383.96	1306.68	948.0	1060.73	1252.26	1277.4	0.0	1239.99	397.22	906.91	1336.86	1387.21	765.49	873.85	499.13	1384.5	942.89	1165.45	971.07	1358.55	1321.49	528.87	1065.56	909.53	987.49	1001.95	392.4	1045.04	1219.79	860.17	1147.18	1368.96	1217.29	1219.63	1382.52	1322.45	861.9	1223.32	558.2	1034.27	842.69	1134.53	1361.58	1091.83	740.02	693.61	1247.23	1516.09	953.16	362.43	
amherstma	264.83	693.92	242.15	216.37	977.41	775.69	1294.85	260.51	671.58	50.79	918.9	166.54	529.21	44.96	1425.32	636.83	113.36	349.7	833.56	682.5	442.68	789.2	127.22	108.19	199.09	824.9	862.9	1099.34	290.01	699.88	249.13	142.73	108.39	812.68	868.86	888.27	88.15	895.08	246.35	681.99	964.7	322.35	3000.8	75.69	754.11	230.29	111.16	289.83	392.68	355.7	668.52	1028.55	570.02	867.81	648.36	857.97	879.85	400.61	543.51	228.81	703.56	772.63	766.78	295.59	206.09	69.34	911.84	95.78	380.86	387.81	414.44	3021.58	1030.38	891.59	388.98	1450.23	51.07	308.67	88.87	1136.43	93.67	706.36	180.84	121.28	49.09	1239.99	0.0	940.65	350.81	123.85	174.21	568.5	665.83	821.09	155.32	332.58	81.0	525.85	191.34	795.62	886.06	175.86	433.64	258.15	592.29	1602.02	200.58	24.61	390.57	679.34	843.58	24.62	103.93	153.35	109.45	384.94	170.48	917.74	886.71	396.49	104.97	191.94	473.15	499.53	729.93	99.69	303.09	929.55	1060.77	
augustaga	719.59	399.8	888.97	1090.34	95.12	589.85	452.09	690.34	416.14	972.93	470.31	776.43	473.92	992.87	582.56	792.04	1004.57	647.8	130.27	731.45	500.15	164.92	815.22	841.14	1112.59	821.65	183.43	255.63	740.99	255.26	1161.03	1056.06	917.65	536.62	75.9	524.1	956.58	458.31	757.73	848.08	121.34	887.51	2802.13	971.09	280.62	719.05	945.0	659.46	683.24	596.02	298.57	145.04	678.31	488.34	306.03	117.57	679.67	596.46	482.77	1142.17	427.53	714.7	911.89	647.34	1117.72	987.95	566.74	1039.13	601.97	822.6	568.31	2822.13	544.43	482.98	550.29	607.46	891.84	647.78	856.11	247.36	1007.51	588.67	762.65	955.69	976.92	397.22	940.65	0.0	607.09	1037.37	1087.99	469.02	508.26	223.76	1088.82	645.32	867.38	610.41	1062.88	970.92	114.66	767.48	548.4	690.69	641.9	759.26	746.96	919.89	561.91	779.27	1018.88	917.6	921.56	1086.85	1026.72	564.52	897.31	109.76	742.82	545.73	836.45	1065.91	731.56	442.5	333.94	949.53	1215.66	660.79	121.15	
towsonmd	149.0	358.61	323.33	500.5	643.86	478.1	961.78	101.21	336.27	383.09	573.14	186.59	268.31	403.03	1092.25	529.86	414.72	122.23	502.41	475.37	112.66	459.58	226.09	252.01	522.74	616.98	522.89	765.33	151.86	368.91	571.19	466.22	326.65	511.24	538.24	586.81	366.35	541.34	192.09	596.95	631.14	341.06	2787.25	380.46	423.71	129.92	354.22	69.61	156.26	14.63	337.32	694.99	376.99	543.2	317.59	528.21	581.82	158.3	212.66	552.32	368.24	564.75	660.77	57.5	527.87	398.1	613.29	449.29	131.77	360.53	78.83	2807.25	734.72	563.62	54.61	1117.15	302.71	80.88	266.98	802.88	417.67	407.31	173.52	365.05	387.08	906.91	350.81	607.09	0.0	447.53	498.15	238.29	330.52	491.51	498.98	104.36	278.24	250.73	473.04	719.79	556.06	178.34	98.53	100.84	353.92	1268.95	157.82	330.05	49.95	528.14	767.76	327.76	331.72	497.01	436.88	48.73	331.67	586.73	642.4	62.07	247.32	476.07	373.35	168.22	394.82	360.01	625.82	631.59	727.21	
portsmouthnh	361.55	790.64	359.64	231.71	1074.13	893.66	1391.72	357.23	768.3	73.54	1004.61	263.49	625.75	106.12	1522.19	755.05	161.28	446.42	930.28	801.61	542.6	889.52	223.94	206.74	76.79	942.82	959.18	1195.27	386.73	798.86	125.23	21.43	154.82	930.63	965.58	1006.19	112.47	972.8	344.9	800.2	1061.42	440.35	3118.72	101.2	853.66	327.01	135.2	386.55	491.23	452.42	767.26	1125.27	687.97	985.99	747.53	954.69	997.77	497.33	642.6	106.37	800.27	890.55	884.99	392.31	81.92	65.79	1030.48	58.42	477.58	503.31	511.16	3139.5	1148.3	1009.83	485.7	1547.1	149.33	405.39	185.59	1233.15	61.62	823.77	277.56	126.69	77.56	1336.86	123.85	1037.37	447.53	0.0	52.19	668.24	762.55	917.81	170.66	429.29	179.55	624.4	206.69	913.83	982.78	272.58	530.36	354.87	688.34	1698.89	297.29	137.99	487.29	797.56	961.79	140.11	221.83	168.69	43.53	481.65	288.38	1014.46	1004.63	495.93	201.68	207.28	591.07	598.16	826.65	124.01	179.86	1047.47	1157.49	
portlandme	412.17	841.26	409.99	282.07	1124.75	944.23	1442.08	407.85	818.92	123.89	1055.84	313.85	676.55	156.74	1572.55	805.4	211.64	497.04	980.9	851.04	590.01	936.54	274.56	257.36	26.16	993.44	1010.24	1245.63	437.35	847.21	76.19	49.89	205.43	981.22	1016.2	1056.8	163.09	1024.87	395.52	850.56	1112.04	490.71	3169.34	151.82	901.45	377.63	185.81	437.17	541.85	503.04	815.85	1175.88	738.56	1036.35	795.7	1005.31	1048.38	547.95	690.85	55.88	850.89	941.17	935.35	442.93	36.18	116.15	1080.38	109.81	528.19	553.67	561.78	3190.12	1198.92	1060.13	536.32	1597.46	199.95	456.01	236.21	1283.77	111.75	874.9	328.18	177.31	127.92	1387.21	174.21	1087.99	498.15	52.19	0.0	715.83	813.17	968.43	221.02	479.91	230.17	675.02	257.04	964.19	1033.4	323.2	580.98	405.49	760.82	1749.25	347.91	188.35	537.91	847.91	1012.15	190.47	272.19	219.05	94.63	532.27	338.74	1065.07	1055.25	543.83	252.3	257.64	641.69	646.86	877.27	174.63	130.15	1098.09	1208.11	
hamptonva	367.59	335.63	542.96	718.18	525.14	583.78	820.35	319.8	336.47	600.78	597.61	404.28	30.38	617.38	950.82	692.72	632.41	185.42	361.93	639.27	129.94	337.84	444.68	470.6	740.43	781.67	417.79	623.9	370.45	247.17	788.87	687.11	545.24	589.4	397.23	630.95	584.95	566.64	413.93	759.81	493.07	560.68	2957.57	599.05	248.36	348.51	572.82	287.8	391.08	224.12	195.89	576.27	543.25	568.27	195.85	405.69	701.11	148.85	29.31	770.01	391.67	710.5	823.62	275.56	745.56	615.79	637.69	669.02	154.51	550.94	242.59	2978.35	756.15	588.57	178.75	975.73	521.3	230.5	485.57	684.16	638.06	552.4	392.11	583.65	604.77	765.49	568.5	469.02	238.29	668.24	715.83	0.0	478.25	349.47	716.67	199.96	496.83	415.66	690.73	882.65	433.78	396.94	230.64	318.87	520.47	1127.52	376.42	547.73	191.55	691.0	930.61	545.45	549.4	714.7	653.83	193.28	551.3	465.46	761.92	173.57	465.91	693.76	538.18	77.01	361.33	578.61	843.5	739.65	589.14	
